spellchecker: disable
Loading repository data...
Reading installed packages...

S  | Name                                          | Summary                                                                            | Type
i  | libSDL3-0                                     | Simple DirectMedia Layer Library                                                   | package
i  | libSDL_gfx16                                  | SDL Graphics Routines for Primitives and Other Support Functions                   | package
i  | libseat1                                      | Seat management library                                                            | package
i  | libseccomp2                                   | An enhanced Seccomp (mode 2) helper library                                        | package
i  | libsecret-1-0                                 | Library for accessing the Secret Service API                                       | package
i  | libselinux1                                   | SELinux runtime library                                                            | package
i  | libselinux1-32bit                             | SELinux runtime library                                                            | package
i  | libsemanage-conf                              | Configuration for the SELinux policy management library                            | package
i  | libsemanage2                                  | SELinux policy management library                                                  | package
i  | libsensors4                                   | Hardware health monitoring library                                                 | package
i  | libsepol2                                     | SELinux binary policy manipulation library                                         | package
i  | libserd-0-0                                   | A lightweight C library for RDF syntax                                             | package
i  | libserializer                                 | JFreeReport General Serialization Framework                                        | package
i  | libsgutils2-1_48-2                            | Library to hold functions common to the SCSI utilities                             | package
i  | libsha1detectcoll1                            | Library that can detect SHA-1 collisions                                           | package
i  | libshaderc_shared1                            | SPIR-V shader compiler library                                                     | package
i  | libsharpyuv0                                  | Library for sharpening YUV option in WebP                                          | package
i  | libshumate-1_0-1                              | Shared library for libshumate                                                      | package
i  | libsigc-2_0-0                                 | Typesafe Signal Framework for C++                                                  | package
i  | libsigc-3_0-0                                 | Typesafe Signal Framework for C++                                                  | package
i  | libsimdutf26                                  | Shared libraries for simdutf                                                       | package
i  | libslang2                                     | Programming Library and Embeddable Extension Language                              | package
i  | libslp1                                       | An Implementation of the Service Location Protocol V2                              | package
i  | libSM6                                        | X Session Management library                                                       | package
i  | libSM6-32bit                                  | X Session Management library                                                       | package
i  | libsmartcols1                                 | Column-based text sort engine                                                      | package
i  | libsmputils1-1                                | Library for SAS SMP control of expanders                                           | package
i  | libsnapper8                                   | Library for filesystem snapshot management                                         | package
i  | libsndfile1                                   | A Library to Handle Various Audio File Formats                                     | package
i  | libsnmp40                                     | Shared Libraries from net-snmp                                                     | package
i  | libsodium26                                   | Portable NaCl-based crypto library                                                 | package
i  | libsoftokn3                                   | Network Security Services Softoken Module                                          | package
i  | libsolv-tools-base                            | Utilities used by libzypp to manage .solv files                                    | package
i  | libsolv1                                      | Package dependency solver using a satisfiability algorithm                         | package
i  | libsord-0-0                                   | A lightweight C library for storing RDF data in memory                             | package
i  | libSoundTouch1                                | Audio Processing Library                                                           | package
i  | libsoup-2_4-1                                 | HTTP client/server library for GNOME                                               | package
i  | libsoup-3_0-0                                 | HTTP client/server library for GNOME                                               | package
i  | libsoxr0                                      | The SoX Resampler library                                                          | package
i  | libspandsp3                                   | A DSP library for Telephony and SoftFAX                                            | package
i  | libspeech-provider-1_0                        | Speech synthesis API and framework for free desktops                               | package
i  | libspeechd2                                   | Device independent layer for speech synthesis - Client library                     | package
i  | libspeechd_module0                            | Library for creating speech-dispatcher modules                                     | package
i  | libspeex1                                     | An Open Source, Patent Free Speech Codec Library                                   | package
i  | libspelling1-2                                | Shared libraries for libspelling                                                   | package
i  | libspice-client-glib-2_0-8                    | Gtk client and libraries for SPICE remote desktop servers                          | package
i  | libspice-client-glib-helper                   | Gtk client and libraries for SPICE remote desktop servers                          | package
i  | libspice-client-gtk-3_0-5                     | Gtk client and libraries for SPICE remote desktop servers                          | package
i  | libspiel-1_0                                  | Speech synthesis API and framework for free desktops                               | package
i  | libSPIRV-Tools-2025_4                         | SPIR-V tool component library                                                      | package
i  | libsqlite3-0                                  | Shared libraries for the Embeddable SQL Database Engine                            | package
i  | libsqlite3-0-x86-64-v3                        | Shared libraries for the Embeddable SQL Database Engine                            | package
i  | libsratom-0-0                                 | A library for serialising LV2 atoms to/from RDF                                    | package
i  | libsrt1_5                                     | Secure Reliable Transport (SRT) library                                            | package
i  | libsrtp2-1                                    | Secure Real-Time Transport Protocol (SRTP) library v2                              | package
i  | libssh-config                                 | SSH library configuration files                                                    | package
i  | libssh4                                       | SSH library                                                                        | package
i  | libssh4-32bit                                 | SSH library                                                                        | package
i  | libstaroffice-0_0-0                           | A library for import of StarOffice documents                                       | package
i  | libstartup-notification-1-0                   | Reference Implementation for the Startup-Notification Protocol                     | package
i  | libstdc++6                                    | The standard C++ shared library                                                    | package
i  | libstdc++6-32bit                              | The standard C++ shared library                                                    | package
i  | libstemmer1d                                  | Shared library for libstemmer                                                      | package
i  | libstoken1                                    | Libraries for stoken                                                               | package
i  | libstorage-ng-lang                            | Languages for package libstorage-ng                                                | package
i  | libstorage-ng-ruby                            | Ruby bindings for libstorage-ng                                                    | package
i  | libstorage-ng1                                | Library for storage management                                                     | package
i  | libsubid5                                     | A library to manage subordinate uid and gid ranges                                 | package
i  | libsuitesparseconfig7                         | Common configurations for all packages in SuiteSparse                              | package
i  | libSvtAv1Enc3                                 | An AV1 decoder/encoder for video streams                                           | package
i  | libswresample6                                | FFmpeg software resampling library                                                 | package
i  | libswscale9                                   | FFmpeg image scaling and colorspace/pixel conversion library                       | package
i  | libsynctex2                                   | Libraries of The Synchronization TeXnology                                         | package
i  | libsystemd0                                   | Component library for systemd                                                      | package
i  | libsystemd0-32bit                             | Component library for systemd                                                      | package
i  | libtag2                                       | Audio Meta-Data Library                                                            | package
i  | libtalloc2                                    | Samba talloc library                                                               | package
i  | libtalloc2-x86-64-v3                          | Samba talloc library                                                               | package
i  | libtasn1-6                                    | ASN.1 parsing library                                                              | package
i  | libtdb1                                       | Samba Trivial Database                                                             | package
i  | libtevent0                                    | Samba tevent Library                                                               | package
i  | libtextstyle0                                 | Provides textstyling for console output                                            | package
i  | libthai-data                                  | Data files for the Thai language support library                                   | package
i  | libthai0                                      | Thai Language Support Routines                                                     | package
i  | libtheoradec2                                 | Theora video decompression library                                                 | package
i  | libtheoraenc2                                 | Theora video compression library                                                   | package
i  | libtiff6                                      | The Tiff Library (with JPEG and compression support)                               | package
i  | libtirpc-netconfig                            | Netconfig configuration file for TI-RPC Library                                    | package
i  | libtirpc3                                     | Transport Independent RPC Library                                                  | package
i  | libtomcrypt1                                  | Cryptographic toolkit with ciphers, hashes, PRNG and PKI                           | package
i  | libtommath1                                   | Routines For a Integer Based Number Theoretic Applications                         | package
i  | libtommath1-x86-64-v3                         | Routines For a Integer Based Number Theoretic Applications                         | package
i  | libtotem-plparser-mini18                      | Mini version of the Totem playlist parser library                                  | package
i  | libtotem-plparser18                           | A GObject-based library to parse playlist formats                                  | package
i  | libtracker-sparql-3_0-0                       | Sparql library for tinysparql                                                      | package
i  | libtree-sitter0_25                            | Asychronous I/O support library                                                    | package
i  | libtree-sitter0_25-x86-64-v3                  | Asychronous I/O support library                                                    | package
i  | libts0                                        | Abstraction layer for touchscreens                                                 | package
i  | libts0-32bit                                  | Abstraction layer for touchscreens                                                 | package
i  | libtss2-esys0                                 | TPM2 Enhanced System API (ESAPI)                                                   | package
i  | libtss2-mu0                                   | TPM2 marshaling/unmarshaling library                                               | package
i  | libtss2-rc0                                   | TPM2 error code translation library                                                | package
i  | libtss2-sys1                                  | TPM2 System API (SAPI)                                                             | package
i  | libtss2-tctildr0                              | TCTI interface loading library                                                     | package
i  | libturbojpeg0                                 | A SIMD-accelerated JPEG compression/decompression library                          | package
i  | libturbojpeg0-x86-64-v3                       | A SIMD-accelerated JPEG compression/decompression library                          | package
i  | libtwolame0                                   | Shared libraries for TwoLame                                                       | package
i  | libuchardet0                                  | Universal Charset Detection Library                                                | package
i  | libudev1                                      | Dynamic library to access udev device information                                  | package
i  | libudev1-32bit                                | Dynamic library to access udev device information                                  | package
i  | libudisks2-0                                  | Dynamic library to access the UDisksd daemon                                       | package
i  | libudisks2-0_btrfs                            | UDisks module for btrfs                                                            | package
i  | libumfpack6                                   | Sparse Multifrontal LU Factorization                                               | package
i  | libunibilium4                                 | A terminfo parsing library                                                         | package
i  | libunibreak6                                  | Unicode line-breaking library                                                      | package
i  | libunistring5                                 | GNU Unicode string library                                                         | package
i  | libunistring5-32bit                           | GNU Unicode string library                                                         | package
i  | libunwind8                                    | Call chain detection library for process self-inspection                           | package
i  | libupower-glib3                               | Power Device Enumeration Framework - Library                                       | package
i  | liburcu8                                      | Userspace Read-Copy-Update Library                                                 | package
i  | liburiparser1                                 | A strictly RFC 3986 compliant URI parsing library                                  | package
i  | libusb-1_0-0                                  | USB Library                                                                        | package
i  | libusbredirhost1                              | A protocol for redirecting USB traffic - Host-side library                         | package
i  | libusbredirparser1                            | A protocol for redirecting USB traffic - Client-side library                       | package
i  | libutf8_range-32_1_0                          | UTF-8 validation libraries from Protobuf                                           | package
i  | libutf8proc3                                  | Library for processing UTF-8 encoded Unicode strings                               | package
i  | libuuid1                                      | Library to generate UUIDs                                                          | package
i  | libuuid1-32bit                                | Library to generate UUIDs                                                          | package
i  | libuv1                                        | Asychronous I/O support library                                                    | package
i  | libv4l                                        | Collection of video4linux support libraries                                        | package
i  | libv4l1-0                                     | Video4linux support library                                                        | package
i  | libv4l2-0                                     | Video4linux support library                                                        | package
i  | libv4lconvert0                                | Video4linux support library                                                        | package
i  | libva-drm2                                    | DRM backend for the Video Acceleration API                                         | package
i  | libva-glx2                                    | GLX backend for the Video Acceleration API                                         | package
i  | libva-x11-2                                   | X11 backend for the Video Acceleration API                                         | package
i  | libva2                                        | Video Acceleration API                                                             | package
i  | libvdpau1                                     | VDPAU wrapper library                                                              | package
i  | libvdpau_r600                                 | VDPAU state tracker for R600                                                       | package
i  | libvdpau_radeonsi                             | VDPAU state tracker for radeonsi                                                   | package
i  | libverto1                                     | Runtime libraries for libverto                                                     | package
i  | libverto1-32bit                               | Runtime libraries for libverto                                                     | package
i  | libvidstab1_2                                 | A library to deshake video                                                         | package
i  | libvisio-0_1-1                                | Library for parsing the MS Visio file format structure                             | package
i  | libvisual-0_4-0                               | Sound Visualization library                                                        | package
i  | libvmaf3                                      | Perceptual video quality assessment algorithm                                      | package
i  | libvncserver1                                 | Library implementing a VNC server                                                  | package
i  | libvo-amrwbenc0                               | VisualOn AMR-WB encoder library                                                    | package
i  | libvorbis0                                    | The Vorbis General Audio Compression Codec                                         | package
i  | libvorbis0-x86-64-v3                          | The Vorbis General Audio Compression Codec                                         | package
i  | libvorbisenc2                                 | The Vorbis General Audio Compression Codec                                         | package
i  | libvorbisenc2-x86-64-v3                       | The Vorbis General Audio Compression Codec                                         | package
i  | libvorbisfile3                                | The Vorbis General Audio Compression Codec                                         | package
i  | libvorbisfile3-x86-64-v3                      | The Vorbis General Audio Compression Codec                                         | package
i  | libvpl2                                       | oneAPI Video Processing Library (oneVPL) dispatcher                                | package
i  | libvpx11                                      | VP8/VP9 codec library                                                              | package
i  | libvte-2_91-0                                 | Terminal Emulator Library                                                          | package
i  | libvterm0                                     | Shared library package of libvterm                                                 | package
i  | libvulkan1                                    | The Vulkan 3D graphics and compute API                                             | package
i  | libvulkan_lvp                                 | Mesa vulkan driver for LVP                                                         | package
i  | libvulkan_radeon                              | Mesa vulkan driver for AMD GPU                                                     | package
i  | libwacom-data                                 | Data files for libwacom, a table identification library                            | package
i  | libwacom9                                     | Library to identify wacom tablets                                                  | package
i  | libwacom9-32bit                               | Library to identify wacom tablets                                                  | package
i  | libwavpack1                                   | Hybrid Lossless Audio Compression Format                                           | package
i  | libwavpack1-x86-64-v3                         | Hybrid Lossless Audio Compression Format                                           | package
i  | libwayland-client0                            | Wayland core client library                                                        | package
i  | libwayland-client0-32bit                      | Wayland core client library                                                        | package
i  | libwayland-cursor0                            | Wayland cursor library                                                             | package
i  | libwayland-cursor0-32bit                      | Wayland cursor library                                                             | package
i  | libwayland-egl1                               | Additional egl functions for wayland                                               | package
i  | libwayland-egl1-32bit                         | Additional egl functions for wayland                                               | package
i  | libwayland-server0                            | Wayland core server library                                                        | package
i  | libwayland-server0-32bit                      | Wayland core server library                                                        | package
i  | libwebkit2gtk-4_1-0                           | Library for rendering web content, GTK+ Port                                       | package
i  | libwebkitgtk-6_0-4                            | Library for rendering web content, GTK+ Port                                       | package
i  | libwebp7                                      | Library for the WebP graphics format                                               | package
i  | libwebpdemux2                                 | Library for extraction of data and images from WebP container files                | package
i  | libwebpmux3                                   | Library for reading/adding data to WebP container files                            | package
i  | libwebrtc-audio-processing-1-3                | Real-Time Communication Library for Web Browsers                                   | package
i  | libwinpr3-3                                   | Windows Portable Runtime                                                           | package
i  | libwireplumber-0_5-0                          | Session / policy manager implementation for PipeWire                               | package
i  | libwlroots-0_19                               | Modular Wayland compositor library                                                 | package
i  | libwmf-0_2-7                                  | Library for reading Metafile Images                                                | package
i  | libwnck-3-0                                   | Window Navigator Construction Kit (Library Package)                                | package
i  | libwoff2common1_0_2                           | Shared library for woff2                                                           | package
i  | libwoff2dec1_0_2                              | Shared library for woff2                                                           | package
i  | libwpd-0_10-10                                | Library for importing WordPerfect Documents                                        | package
i  | libwpg-0_3-3                                  | Library to read and parse graphics in WordPerfect Graphics format                  | package
i  | libwps-0_4-4                                  | Library for the Microsoft Works text and spreadsheet formats                       | package
i  | libwrap0                                      | The TCP wrapper library                                                            | package
i  | libwtmpdb0                                    | Library to store login and logout of users (wtmpdb)                                | package
i  | libX11-6                                      | Core X11 protocol client library                                                   | package
i  | libX11-6-32bit                                | Core X11 protocol client library                                                   | package
i  | libX11-data                                   | Shared data for the Core X11 protocol library                                      | package
i  | libX11-xcb1                                   | XCB X11 protocol client library                                                    | package
i  | libX11-xcb1-32bit                             | XCB X11 protocol client library                                                    | package
i  | libx86emu3                                    | An x86 emulation library                                                           | package
i  | libXau6                                       | X11 authorization protocol library                                                 | package
i  | libXau6-32bit                                 | X11 authorization protocol library                                                 | package
i  | libXaw7                                       | The X Athena Widget Set                                                            | package
i  | libxcb-composite0                             | X11 Composite Extension C library                                                  | package
i  | libxcb-cursor0                                | XCB cursor library (libxcursor port)                                               | package
i  | libxcb-dri3-0                                 | X11 DRI3 Extension C library                                                       | package
i  | libxcb-errors0                                | XCB errors library                                                                 | package
i  | libxcb-ewmh2                                  | XCB utility module for client- and WM-side ICCCM helpers                           | package
i  | libxcb-glx0                                   | X11 GLX Extension C library                                                        | package
i  | libxcb-glx0-32bit                             | X11 GLX Extension C library                                                        | package
i  | libxcb-icccm4                                 | XCB utility module for client- and WM-side ICCCM helpers                           | package
i  | libxcb-icccm4-32bit                           | XCB utility module for client- and WM-side ICCCM helpers                           | package
i  | libxcb-image0                                 | XCB utility module for XImage/XShmImage-like functions                             | package
i  | libxcb-image0-32bit                           | XCB utility module for XImage/XShmImage-like functions                             | package
i  | libxcb-keysyms1                               | XCB utility module for X keycode constants and conversions                         | package
i  | libxcb-keysyms1-32bit                         | XCB utility module for X keycode constants and conversions                         | package
i  | libxcb-present0                               | X11 Present Extension C library                                                    | package
i  | libxcb-randr0                                 | X11 RandR Extension C library                                                      | package
i  | libxcb-randr0-32bit                           | X11 RandR Extension C library                                                      | package
i  | libxcb-render-util0                           | XCB utility module for the Render extension                                        | package
i  | libxcb-render-util0-32bit                     | XCB utility module for the Render extension                                        | package
i  | libxcb-render0                                | X11 Render Extension C library                                                     | package
i  | libxcb-render0-32bit                          | X11 Render Extension C library                                                     | package
i  | libxcb-res0                                   | X11 Resource Extension C library                                                   | package
i  | libxcb-shape0                                 | X11 Shape Extension C library                                                      | package
i  | libxcb-shape0-32bit                           | X11 Shape Extension C library                                                      | package
i  | libxcb-shm0                                   | X11 Shared Memory Extension C library                                              | package
i  | libxcb-shm0-32bit                             | X11 Shared Memory Extension C library                                              | package
i  | libxcb-sync1                                  | X11 Sync Extension C library                                                       | package
i  | libxcb-sync1-32bit                            | X11 Sync Extension C library                                                       | package
i  | libxcb-util1                                  | XCB utility modules                                                                | package
i  | libxcb-util1-32bit                            | XCB utility modules                                                                | package
i  | libxcb-xfixes0                                | X11 Xfixes Extension C library                                                     | package
i  | libxcb-xfixes0-32bit                          | X11 Xfixes Extension C library                                                     | package
i  | libxcb-xinerama0                              | X11 Xinerama Extension C library                                                   | package
i  | libxcb-xinerama0-32bit                        | X11 Xinerama Extension C library                                                   | package
i  | libxcb-xinput0                                | X11 XInput Extension C library                                                     | package
i  | libxcb-xinput0-32bit                          | X11 XInput Extension C library                                                     | package
i  | libxcb-xkb1                                   | X11 Keyboard Extension C library                                                   | package
i  | libxcb-xkb1-32bit                             | X11 Keyboard Extension C library                                                   | package
i  | libxcb-xv0                                    | X11 video Extension C library                                                      | package
i  | libxcb1                                       | X11 core protocol C library                                                        | package
i  | libxcb1-32bit                                 | X11 core protocol C library                                                        | package
i  | libXcomposite1                                | X11 protocol Composite extension client library                                    | package
i  | libXcomposite1-32bit                          | X11 protocol Composite extension client library                                    | package
i  | libXcursor1                                   | X Window System Cursor management library                                          | package
i  | libxcvt0                                      | CVT standard timing modeline generator                                             | package
i  | libXdamage1                                   | X Damage Extension library                                                         | package
i  | libXdmcp6                                     | X Display Manager Control Protocol library                                         | package
i  | libxdot4                                      | Library for parsing and deparsing of xdot operations                               | package
i  | libXext6                                      | Common extensions to the X11 protocol                                              | package
i  | libxfce4util-lang                             | Translations for package libxfce4util                                              | package
i  | libxfce4util7                                 | Utility Library for the Xfce Desktop Environment                                   | package
i  | libxfconf-0-3                                 | Xfconf Shared Library                                                              | package
i  | libXfixes3                                    | X11 miscellaneous "fixes" extension library                                        | package
i  | libXfont2-2                                   | X font handling library for server and utilities                                   | package
i  | libXft2                                       | X FreeType library                                                                 | package
i  | libXi6                                        | X Input Extension library                                                          | package
i  | libXinerama1                                  | Xinerama extension to the X11 Protocol                                             | package
i  | libxkbcommon-x11-0                            | Library for handling xkb descriptions using XKB-X11                                | package
i  | libxkbcommon-x11-0-32bit                      | Library for handling xkb descriptions using XKB-X11                                | package
i  | libxkbcommon0                                 | Library for handling xkb descriptions                                              | package
i  | libxkbcommon0-32bit                           | Library for handling xkb descriptions                                              | package
i  | libxkbfile1                                   | X11 keyboard file manipulation library                                             | package
i  | libxkbregistry0                               | Library for handling xkb descriptions                                              | package
i  | libxml++-3_0-1                                | C++ Interface for XML Files                                                        | package
i  | libxml2-16                                    | A Library to Manipulate XML Files                                                  | package
i  | libxml2-tools                                 | Tools using libxml                                                                 | package
i  | libxmlb2                                      | Library for querying compressed XML metadata                                       | package
i  | libxmlb2-x86-64-v3                            | Library for querying compressed XML metadata                                       | package
i  | libxmlsec1-1                                  | Library providing support for "XML Signature" and "XML Encryption" standards       | package
i  | libxmlsec1-nss1                               | NSS crypto plugin for XML Security Library                                         | package
i  | libXmu6                                       | Miscellaneous utility routines for X                                               | package
i  | libXmuu1                                      | More miscellaneous utility routines for X                                          | package
i  | libXpm4                                       | X Pixmap image file format library                                                 | package
i  | libXrandr2                                    | X Resize, Rotate and Reflection extension library                                  | package
i  | libXrender1                                   | X Rendering Extension library                                                      | package
i  | libXrender1-32bit                             | X Rendering Extension library                                                      | package
i  | libXRes1                                      | X Resource extension client library                                                | package
i  | libxshmfence1                                 | A tiny library that exposes a event API on top of Linux futexes                    | package
i  | libxslt-tools                                 | Extended Stylesheet Language (XSL) Transformation utilities                        | package
i  | libxslt1                                      | XSL Transformation Library                                                         | package
i  | libXss1                                       | X11 Screen Saver extension client library                                          | package
i  | libXt6                                        | X Toolkit Intrinsics library                                                       | package
i  | libxtables12                                  | The iptables plugin interface                                                      | package
i  | libXtst6                                      | Xlib-based client API for the XTEST and RECORD extensions                          | package
i  | libXv1                                        | X Video extension library                                                          | package
i  | libxvidcore4                                  | MPEG-4 Simple and Advanced Simple Profile codec                                    | package
i  | libXvnc1                                      | X extension to control VNC module                                                  | package
i  | libXxf86vm1                                   | XFree86-VidMode X extension library                                                | package
i  | libxxhash0                                    | Non-cryptographic hash algorithm                                                   | package
i  | libyajl2                                      | Yet Another JSON Library                                                           | package
i  | libyaml-0-2                                   | A YAML parser and emitter written in C                                             | package
i  | libyaml-cpp0_8                                | YAML parser and emitter in C++                                                     | package
i  | libyelp-1-0                                   | Core library for the GNOME Desktop help browser                                    | package
i  | libyui-ncurses-pkg16                          | Libyui - yast2 package selector widget for the NCurses UI                          | package
i  | libyui-ncurses16                              | Libyui - NCurses (text based) user interface                                       | package
i  | libyui-qt-graph16                             | Libyui - Qt graph widget                                                           | package
i  | libyui-qt-pkg16                               | Libyui - Qt package selector                                                       | package
i  | libyui-qt16                                   | Libyui - Qt (graphical) user interface                                             | package
i  | libyui16                                      | Libyui - GUI abstraction library                                                   | package
i  | libyuv0                                       | YUV scaling and conversion library                                                 | package
i  | libz1                                         | Library implementing the DEFLATE compression algorithm                             | package
i  | libz1-32bit                                   | Library implementing the DEFLATE compression algorithm                             | package
i  | libz1-x86-64-v3                               | Library implementing the DEFLATE compression algorithm                             | package
i  | libzbar0                                      | Bar code reading library                                                           | package
i  | libzck1                                       | Zchunk library                                                                     | package
i  | libzimg2                                      | Scaling, colorspace conversion, and dithering library                              | package
i  | libzio1                                       | A Library for Accessing Compressed Text Files                                      | package
i  | libzix-0-0                                    | A lightweight C library of portability wrappers and data structures                | package
i  | libzmf-0_0-0                                  | An ZMF generator library                                                           | package
